돌발일시,관리기관,도로타입,도로번호,도로명,방향,돌발구분,돌발상세구분,돌발내용,X,Y,링크아이디,돌발종료일시,요일,요일구분
2024-11-09 17:01,한국도로공사,고속국도,100.0,수도권제1순환고속도로,판교-구리 방향,기타돌발,차량증가/정체,고양분기점부근(63K)-사패산터널(49K)14km정체,126.8644,37.6682,2180388401,-,Saturday,주말
2024-11-09 19:05,한국도로공사,고속국도,10.0,남해고속도로,순천 방향,기타,이벤트/홍보,**(순천방향)남자화장실이용불가**,127.9569,35.0532,3840463600,-,Saturday,주말
2024-11-09 5:59,한국도로공사,고속국도,10.0,남해고속도로,순천 방향,기상,안개,"안개""주의""",128.6479,35.2749,4140159100,-,Saturday,주말
2024-11-09 6:42,한국도로공사,고속국도,1.0,경부고속도로,부산 방향,기타돌발,고장,(1차로)동물조심종료,129.0808,35.4563,3880025203,2024-11-09 7:01,Saturday,주말
2024-11-09 8:22,한국도로공사,고속국도,40.0,평택제천고속도로,평택 방향,기타돌발,차량증가/정체,차량증가/정체,127.142,37.0366,2310028700,-,Saturday,주말
2024-11-09 8:59,경찰청,국가지원지방도,98.0,고양대로,,공사,작업,<공사> 지방도310호선 원당역앞교차로 원당지하차도 주의운전 공사 - 고양시 고양대로 원당역 앞 교차로에서 원당지하차도구간 중간지점 하위차로가 공사관계로 차단되어 있음. -,126.841706,37.653472,2180016301,2024-11-09 9:29,Saturday,주말
2024-11-10 13:49,한국도로공사,고속국도,35.0,중부고속도로,남이 방향,기타돌발,차량증가/정체,차량증가/정체,127.4201,36.6047,2710002501,-,Sunday,주말
2024-11-10 17:27,한국도로공사,고속국도,55.0,중앙고속도로,부산 방향,기타돌발,차량증가/정체,차량증가/정체,128.1857,37.0713,2730015301,-,Sunday,주말
2024-11-10 9:08,경찰청,국가지원지방도,98.0,고양대로,,공사,작업,<공사> 고양대로 성사IC 원당역앞교차로 1차로 주의운전 도로공사 -,126.843222,37.653053,2180015701,2024-11-10 18:00,Sunday,주말
2024-11-11 0:18,한국도로공사,고속국도,55.0,중앙고속도로,춘천 방향,기상,안개,"안개""주의""",128.5308,36.8523,3560010100,-,Monday,평일
2024-11-11 10:06,한국도로공사,고속국도,50.0,영동고속도로,강릉 방향,기타돌발,고장,(3차로)승용차고장처리중,128.8066,37.7589,2520013901,-,Monday,평일
2024-11-11 17:24,한국도로공사,고속국도,251.0,호남지선,논산 방향,교통사고,사고,(1차로)승용차관련사고처완료,127.4089,36.4054,1860011002,2024-11-11 17:28,Monday,평일
2024-11-11 9:15,한국도로공사,고속국도,15.0,서해안고속도로,서울 방향,공사,작업,(2차로)터널내열화부보수작업중,126.4908,35.0155,3390259200,-,Monday,평일
2024-11-12 14:16,한국도로공사,고속국도,1.0,경부고속도로,부산 방향,공사,작업,(5차로)청소작업중,127.0846,37.1421,2230344200,-,Tuesday,평일
2024-11-12 17:25,한국도로공사,고속국도,104.0,남해고속도로제2지선,김해 방향,기타돌발,차량증가/정체,차량증가/정체,128.8056,35.1987,3850005200,-,Tuesday,평일
2024-11-12 17:25,한국도로공사,고속국도,1.0,경부고속도로,서울 방향,기타돌발,차량증가/정체,차량증가/정체,129.0932,35.2466,1400005900,-,Tuesday,평일
2024-11-12 19:54,한국도로공사,고속국도,100.0,수도권제1순환고속도로,판교-구리 방향,기타돌발,차량증가/정체,차량증가/정체,127.1697,37.5153,2270002301,-,Tuesday,평일
2024-11-12 3:02,한국도로공사,고속국도,55.0,중앙고속도로,부산 방향,기상,안개,"안개""주의""",128.5341,36.0991,3690023600,-,Tuesday,평일
2024-11-12 7:54,한국도로공사,고속국도,1.0,경부고속도로,부산 방향,공사,작업,(갓길)국방광대역망구축작업중,127.9893,36.2108,2770321300,-,Tuesday,평일
2024-11-13 10:30,경찰청,시군도,0.0,시청대로,,공사,작업,<공사> 진등2길 남원주ic 치악휴게소 308.0k-307.2k 2차로 주의운전 도로공사 -,127.963807,37.314352,2510090000,2024-11-13 18:00,Wednesday,평일
2024-11-13 15:38,한국도로공사,고속국도,100.0,수도권제1순환고속도로,판교-구리 방향,공사,작업,(갓길)이동청소작업중,127.1753,37.5587,1240003600,-,Wednesday,평일
2024-11-13 20:06,한국도로공사,고속국도,45.0,중부내륙고속도로,양평 방향,공사,작업,(1차로)문성1교교면보수작업중,127.7178,37.0927,2720965200,-,Wednesday,평일
2024-11-13 20:08,한국도로공사,고속국도,45.0,중부내륙고속도로,양평 방향,공사,작업,(1차로)장고개터널전기공사작업중(다공종),127.8483,36.9614,2720963800,-,Wednesday,평일
2024-11-13 20:39,한국도로공사,고속국도,100.0,수도권제1순환고속도로,판교-구리 방향,공사,작업,"송추IC(51K)-사패산터널(45K)(1,2차로)구조물보수보강작업",126.973,37.712,2350530200,-,Wednesday,평일
2024-11-13 22:00,경찰청,도시고속국도,51.0,분당내곡간도시고속화도대로,분당 방향,공사,작업,<공사> 분당내곡간도시고속화도로 구룡터널內 분당 2차로 [공사]터널내부 SKT장비안전점검 / 장소:분당내곡간고속도로 분당방향 구룡터널內 / 부분통제 유지보수  서울청,127.062538,37.472051,1220041100,2024-11-14 4:00,Wednesday,평일
2024-11-13 7:16,한국도로공사,고속국도,55.0,중앙고속도로,부산 방향,공사,작업,(1차로)가드레일보수작업중,127.8252,37.7128,2570015702,-,Wednesday,평일
2024-11-14 10:05,한국도로공사,고속국도,50.0,영동고속도로,강릉 방향,기타돌발,고장,(갓길)고장차처리중,128.7743,37.669,2520010101,-,Thursday,평일
2024-11-14 10:24,경찰청,지방도,1136.0,노형대로,무수천교차로 방향,교통사고,사고,"<사고> 노형로 해안마을 해안동23903 주의운전 사고 - 노형로, 해안육교 - 무수천교차로 방향, 무수천주유소 앞 2차로 승용차 화물차 접촉사고, 수습전, 주의운전. -",126.45207,33.46305,4050005704,2024-11-14 10:54,Thursday,평일
2024-11-14 13:11,한국도로공사,고속국도,10.0,남해고속도로,부산 방향,공사,작업,(1차로)중분대배수구청소작업중,128.585,35.2886,4140171400,-,Thursday,평일
2024-11-14 20:59,한국도로공사,고속국도,1.0,경부고속도로,서울 방향,공사,작업,(5차로)안전간판설치작업중,127.0961,37.1798,2330025903,-,Thursday,평일
2024-11-14 22:27,한국도로공사,고속국도,35.0,통영대전고속도로,통영 방향,기타돌발,고장,(갓길)승용차고장처리중,127.509,36.1451,2920013502,-,Thursday,평일
2024-11-14 6:41,한국도로공사,고속국도,104.0,남해고속도로제2지선,서부산 방향,기타돌발,고장,"(4차로,갓길)화물차고장처리완료",128.965,35.1537,1440068000,2024-11-14 6:57,Thursday,평일
2024-11-14 8:03,국도통합센터,일반국도,3.0,국도3호선,남해 방향,공사,시설물보수작업,,127.93153,36.92655,2720016702,2024-11-14 17:09,Thursday,평일
2024-11-15 10:37,한국도로공사,고속국도,40.0,평택제천고속도로,제천 방향,기타돌발,고장,(갓길)대형화물차고장처리중,127.6341,36.9968,2810050403,-,Friday,평일
2024-11-15 12:28,경찰청,지방도,1118.0,남조대로,,기상,기상,"<기상> 남조로 제주시서귀포시 수망리산1821 주의운전 기상 - 남조로, 교래사거리 -붉은오름 구간, 안개주의  -",126.683887,33.399496,4060475600,2024-11-15 12:58,Friday,평일
2024-11-15 13:33,경찰청,시군도,0.0,전룡대로,서신교사거리 방향,공사,작업,<공사> 전룡로 서신동7492 서신교 주의운전 공사 - 전룡로 서신초등학교에서 서신교사거리  방향 서신교사거리 못간지점 1차로 막고 공사.  -,127.127665,35.829329,3050123404,2024-11-15 14:03,Friday,평일
2024-11-15 17:43,한국도로공사,고속국도,100.0,수도권제1순환고속도로,판교-구리 방향,기타돌발,고장,(갓길)승용차고장처리중,127.0999,37.4073,2060010900,-,Friday,평일
2024-11-15 18:24,한국도로공사,고속국도,1.0,경부고속도로,부산 방향,기타돌발,차량증가/정체,차량증가/정체,128.678,35.8964,1510044300,-,Friday,평일
2024-11-15 22:08,한국도로공사,고속국도,1.0,경부고속도로,서울 방향,기타돌발,고장,(갓길)승용차고장처리중,127.104,37.2263,2440077500,-,Friday,평일
2024-11-15 23:07,한국도로공사,고속국도,40.0,평택제천고속도로,제천 방향,기타돌발,고장,(갓길)고장차처리중,127.2375,36.9817,2310207400,-,Friday,평일
2024-11-15 7:40,경찰청,특별광역시도,0.0,우산대로,,공사,작업,<공사> 우산로 우산동88613 우산동8934 1차로 주의운전 도로공사 -,126.814374,35.152208,1790067402,2024-11-15 18:00,Friday,평일
2024-11-15 9:28,경찰청,특별광역시도,0.0,무네미대로,서창분기점 방향,공사,작업,"<공사> 무네미로 장수사거리 장승백이사거리 주의운전 공사 -  무네미로 장수나들목에서 서창분기점방향, 장수고가교 중간 지점 하위차로 막고 작업차량 한대 세워두고 작업 중.  -",126.745624,37.449404,1650018000,2024-11-15 9:58,Friday,평일
2024-11-16 17:40,경찰청,특별광역시도,0.0,월계대로,,교통사고,사고,<사고> 월계로 서울장월초등학교 월계2교앞 4차로  교통사고  서울청,127.0488,37.623597,1070021604,2024-11-16 18:10,Saturday,주말
2024-11-16 18:04,한국도로공사,고속국도,1.0,경부고속도로,부산 방향,기타돌발,고장,(진입로갓길)승용차고장처리중,127.9904,36.2108,2770321300,-,Saturday,주말
2024-11-17 11:01,한국도로공사,고속국도,15.0,서해안고속도로,목포 방향,기타돌발,차량증가/정체,차량증가/정체,126.8969,37.2767,2330061400,-,Sunday,주말
2024-11-17 11:27,경찰청,시군도,0.0,숲속노을대로,,공사,작업,<공사> 숲속노을로 신도산업 신도시부동산 3차로 주의운전 노변 유지보수 -,126.713372,37.715575,2290655501,2024-11-17 18:00,Sunday,주말
2024-11-17 14:15,한국도로공사,고속국도,35.0,중부고속도로,남이 방향,기타돌발,차량증가/정체,차량증가/정체,127.2134,37.5311,2270005500,-,Sunday,주말
2024-11-17 16:12,한국도로공사,고속국도,45.0,중부내륙고속도로,양평 방향,기타돌발,차량증가/정체,차량증가/정체,128.2359,36.3576,3580008302,-,Sunday,주말
2024-11-17 8:46,경찰청,도시고속국도,61.0,동부간선도대로,성남 방향,공사,작업,<공사> 동부간선도로 수서IC 자곡IC 1차로 시설물보수 분당수서로 수서→복정 성남 방향 -,127.107067,37.487507,1220341800,2024-11-17 9:16,Sunday,주말
2024-11-18 10:40,한국도로공사,고속국도,102.0,남해고속도로제1지선,창원 방향,교통사고,사고,(3차로)화물차관련사고처리중,128.5315,35.2433,4170062400,-,Monday,평일
2024-11-18 18:36,한국도로공사,고속국도,15.0,서해안고속도로,서울 방향,기타돌발,고장,(3차로)승용차고장처리중,126.8655,37.3407,2160389400,2024-11-18 18:47,Monday,평일
2024-11-18 20:43,한국도로공사,고속국도,45.0,중부내륙고속도로,창원 방향,공사,작업,(1차로)터널전기시설보완작업중,127.86,36.9337,2720963700,-,Monday,평일
2024-11-18 22:17,한국도로공사,고속국도,50.0,영동고속도로,인천 방향,공사,작업,(진출로2차로)시설물보수작업중,126.8607,37.3441,2160389600,-,Monday,평일
2024-11-18 7:00,경찰청,시군도,0.0,무실대로,한지공원4거리 방향,교통사고,사고,"<사고> 무실로 무실주공8단지입구 한지공원사거리 주의운전 사고 - 원주 무실로 법조4거리에서 한지공원4거리방향, 한지공원4거리 못간지점 우측차로에서 승용차간 추돌사고, 사고처리전  -",127.934516,37.336332,2510610100,2024-11-18 7:30,Monday,평일
2024-11-18 9:38,경찰청,특별광역시도,0.0,상도대로,,교통사고,사고,<사고> 상도로 장승배기교차로 신대방삼거리역 2차로 (승용차-화물차) 후미 지체 교통사고  서울청,126.93884,37.504835,1190002306,2024-11-18 10:13,Monday,평일
2024-11-19 10:06,한국도로공사,고속국도,1.0,경부고속도로,부산 방향,교통사고,사고,(3차로)화물차관련사고처리중,129.0698,35.3115,3880841400,-,Tuesday,평일
2024-11-19 11:45,한국도로공사,고속국도,7000.0,대구외곽순환고속도로,,기타돌발,고장,"(2차로,갓길)화물차고장처리중",128.5318,35.9338,-,-,Tuesday,평일
2024-11-19 12:33,경찰청,특별광역시도,0.0,봉은사대로,,교통사고,사고,<사고> 봉은사로 신논현역 언주역 4차로  교통사고  서울청,127.025831,37.504807,1220027302,2024-11-19 13:03,Tuesday,평일
2024-11-19 14:30,한국도로공사,고속국도,15.0,서해안고속도로,목포 방향,기타돌발,고장,(갓길)승용차고장처리중,126.8869,37.1111,2334281900,-,Tuesday,평일
2024-11-19 15:07,한국도로공사,고속국도,50.0,영동고속도로,강릉 방향,기타돌발,차량증가/정체,차량증가/정체,126.9071,37.3226,2250001400,-,Tuesday,평일
2024-11-19 15:48,한국도로공사,고속국도,35.0,중부고속도로,남이 방향,기타돌발,차량증가/정체,차량증가/정체,127.2697,37.4479,2340034300,-,Tuesday,평일
2024-11-19 17:01,한국도로공사,고속국도,100.0,수도권제1순환고속도로,판교-구리 방향,기타돌발,차량증가/정체,차량증가/정체,126.8601,37.3728,2240014501,-,Tuesday,평일
2024-11-19 19:43,한국도로공사,고속국도,104.0,남해고속도로제2지선,서부산 방향,기타돌발,고장,(갓길)승용차고장처리중,128.7973,35.2041,3850007100,-,Tuesday,평일
2024-11-19 3:03,한국도로공사,고속국도,50.0,영동고속도로,강릉 방향,교통사고,사고,(갓길)화물차화재사고처리중,127.0586,37.2969,2030327500,-,Tuesday,평일
2024-11-19 3:37,경찰청,고속국도,50.0,영동고속도로,,교통사고,사고,<사고> 영동고속도로 용인 동수원 37k 6차로 주의운전 화재 -,127.066526,37.296754,2450049200,2024-11-19 4:07,Tuesday,평일
2024-11-19 7:01,한국도로공사,고속국도,20.0,대구포항선,포항 방향,기상,강우,"빗길""주의""",129.3155,36.0419,3520074101,-,Tuesday,평일
2024-11-19 7:02,경찰청,일반국도,5.0,일반국도5호선,횡성 방향,공사,작업,"<공사> 일반국도5호선 신양대교 신양대교 주의운전 공사 - 국도5호선 우회도로 원주 신양대교남측
(횡성방향)
  1차로 차단 공사 -",127.986824,37.404486,2510597900,2024-11-19 7:32,Tuesday,평일
2024-11-19 7:40,한국도로공사,고속국도,100.0,수도권제1순환고속도로,판교-구리 방향,기타돌발,차량증가/정체,차량증가/정체,127.1254,37.4614,2040003801,-,Tuesday,평일
2024-11-19 7:52,한국도로공사,고속국도,10.0,남해고속도로,순천 방향,기타돌발,차량증가/정체,(진출로갓길)녹지대시설물청소작업,128.3437,35.2929,3900015201,-,Tuesday,평일
2024-11-19 9:34,한국도로공사,고속국도,551.0,중앙선지선,양산 방향,교통사고,사고,(2차로)승용차관련사고처리완료,129.0091,35.2967,3880841100,2024-11-19 9:58,Tuesday,평일
2024-11-20 12:12,한국도로공사,고속국도,50.0,영동고속도로,인천 방향,공사,작업,(5차로)노면배수성점검작업중,127.107,37.2904,2440185000,-,Wednesday,평일
2024-11-20 12:43,경찰청,시군도,0.0,선화대로,,공사,작업,<공사> 동서로 쌍용기아부품대리점 성민수퍼 1차로 주의운전 노변 유지보수 -,126.970847,35.938454,3080365900,2024-11-20 18:00,Wednesday,평일
2024-11-20 15:57,경찰청,지방도,712.0,우림대로,,기타,통제,<통제> 지방도712호선 중인교차로 중인삼거리 1차로 주의운전 공사 -,127.09486,35.773701,3050000311,2024-11-20 16:27,Wednesday,평일
2024-11-20 18:07,한국도로공사,고속국도,15.0,서해안고속도로,서울 방향,기타돌발,고장,(갓길)승용고장차처리중,126.8735,37.2218,2330025401,-,Wednesday,평일
2024-11-20 19:22,한국도로공사,고속국도,55.0,중앙고속도로,춘천 방향,공사,작업,(1차로)중분대개량작업중,128.586,36.3241,3620475600,-,Wednesday,평일
2024-11-20 9:29,경찰청,특별광역시도,0.0,구마대로,감천네거리 방향,교통사고,사고,<사고> 구마로 본리동1150 본리네거리 주의운전 사고 - <긴급><사고최초>구마로 본리네거리에서 감천네거리방향 본리네거리 지나자마자 3차로 승용차 4중 추돌사고. -,128.536438,35.83741,1560035502,2024-11-20 9:59,Wednesday,평일
2024-11-21 14:35,한국도로공사,고속국도,1.0,경부고속도로,부산 방향,공사,작업,(5차로)청소작업중,127.12,37.0979,2430278401,-,Thursday,평일
2024-11-21 18:30,경찰청,도시고속국도,88.0,올림픽대로,,교통사고,사고,<사고> 올림픽대로 강동대교 암사대교 2차로  교통사고  서울청,127.152532,37.567773,1240055101,2024-11-21 19:00,Thursday,평일
2024-11-21 7:16,한국도로공사,고속국도,1.0,경부고속도로,서울 방향,기타돌발,차량증가/정체,차량증가/정체,127.1122,37.1148,2430279001,-,Thursday,평일
2024-11-21 8:25,한국도로공사,고속국도,12.0,광주대구고속도로,대구 방향,공사,작업,(1차로)콘크리트단면보수작업중,128.3995,35.7631,1570888900,-,Thursday,평일
2024-11-22 11:45,한국도로공사,고속국도,15.0,서해안고속도로,서울 방향,교통사고,사고,(3차로)승용차관련사고처리중,126.8773,37.1551,2330025401,-,Friday,평일
2024-11-22 15:15,한국도로공사,고속국도,1.0,경부고속도로,서울 방향,기타돌발,차량증가/정체,차량증가/정체,127.4226,36.4137,1870199600,-,Friday,평일
2024-11-22 15:17,한국도로공사,고속국도,35.0,중부고속도로,남이 방향,기타돌발,차량증가/정체,차량증가/정체,127.28,37.4442,2340007821,-,Friday,평일
2024-11-22 15:22,한국도로공사,고속국도,1.0,경부고속도로,서울 방향,기타돌발,차량증가/정체,차량증가/정체,127.1034,37.3453,2060358400,-,Friday,평일
2024-11-22 19:25,한국도로공사,고속국도,251.0,호남지선,대전 방향,기타돌발,차량증가/정체,차량증가/정체,127.3365,36.3829,1860007402,-,Friday,평일
2024-11-22 19:33,경찰청,특별광역시도,0.0,논현대로,하남 방향,교통사고,사고,"<사고> 논현로 성동구강남구 동호대교북측 주의운전 사고 - 서울시 올림픽대로 하남방향, 동호대교에서 성수대교구간 하위차로에서 추돌사고 처리 중.  -",127.021159,37.536324,1030022200,2024-11-22 20:03,Friday,평일
2024-11-22 21:50,한국도로공사,고속국도,35.0,통영대전고속도로,대전 방향,기타돌발,고장,(갓길)화물고장차처리중,127.5302,36.0906,2920492200,-,Friday,평일
2024-11-22 9:11,한국도로공사,고속국도,110.0,제2경인고속도로,인천 방향,공사,작업,(갓길)시설물점검작업중,126.6513,37.4369,1630000600,-,Friday,평일
2024-11-23 10:33,경찰청,지방도,3.0,평화대로,,공사,작업,<공사> 일반국도3호선 전곡입구오거리 사랑동삼거리 1차로 주의운전 유지보수 -,127.069725,38.014264,2380043500,2024-11-23 18:00,Saturday,주말
2024-11-23 12:18,한국도로공사,고속국도,15.0,서해안고속도로,서울 방향,기타돌발,차량증가/정체,차량증가/정체,126.8698,37.3396,2160389400,-,Saturday,주말
2024-11-23 12:43,한국도로공사,고속국도,35.0,중부고속도로,남이 방향,기타돌발,고장,(갓길)승용차고장차처리중,127.2891,37.4389,2340007821,-,Saturday,주말
2024-11-23 15:07,한국도로공사,고속국도,45.0,중부내륙고속도로,양평 방향,교통사고,사고,(1차로)승용차관련사고처리중,127.8911,36.8981,2800540400,-,Saturday,주말
2024-11-23 16:43,한국도로공사,고속국도,45.0,중부내륙고속도로,창원 방향,기타돌발,차량증가/정체,차량증가/정체,127.7181,37.0918,2720965100,-,Saturday,주말
2024-11-23 7:00,국도통합센터,일반국도,21.0,국도21호선,남원 방향,공사,시설물보수작업,,126.85879,35.9178,3070002900,2024-11-23 20:04,Saturday,주말
2024-11-23 8:20,경찰청,일반국도,29.0,필문대로,양 방향,공사,작업,"<공사> 필문대로 광주은행산수동지점 산수오거리 양방향 1,2차로 주의운전 도로공사 -",126.931862,35.15465,1750004702,2024-11-23 18:00,Saturday,주말
2024-11-23 9:06,경찰청,시군도,0.0,회천대로,,공사,작업,<공사> 회천로 옥정동888 고암동61611 1차로 주의운전 유지보수 -,127.079751,37.825873,2350425603,2024-11-23 18:00,Saturday,주말
2024-11-24 12:30,한국도로공사,고속국도,35.0,중부고속도로,하남 방향,기타돌발,장애물,(갓길)장애물(화물덮개)처리중,127.428,37.2319,2300019500,-,Sunday,주말
2024-11-25 14:06,한국도로공사,고속국도,35.0,중부고속도로,남이 방향,기타돌발,차량증가/정체,차량증가/정체,127.4497,37.0923,2310051000,-,Monday,평일
2024-11-25 16:17,한국도로공사,고속국도,100.0,수도권제1순환고속도로,판교-구리 방향,기타돌발,차량증가/정체,차량증가/정체,127.1224,37.4169,2050210900,-,Monday,평일
2024-11-25 17:00,한국도로공사,고속국도,1.0,경부고속도로,서울 방향,기타돌발,차량증가/정체,차량증가/정체,127.1037,37.2912,2280067900,-,Monday,평일
2024-11-25 17:14,한국도로공사,고속국도,100.0,수도권제1순환고속도로,판교-일산 방향,기타돌발,차량증가/정체,차량증가/정체,127.1391,37.494,1230434100,-,Monday,평일
2024-11-25 8:10,한국도로공사,고속국도,55.0,중앙고속도로,부산 방향,공사,작업,(2차로)교량접속부팻칭작업중,128.3642,36.918,2820003401,-,Monday,평일
2024-11-25 8:27,한국도로공사,고속국도,35.0,중부고속도로,하남 방향,공사,작업,(갓길)염수분사장치설치작업중,127.4423,37.1319,2310800200,-,Monday,평일
2024-11-26 11:36,한국도로공사,고속국도,100.0,수도권제1순환고속도로,판교-구리 방향,재난,노면습기,"도로살얼음""주의""",127.0944,37.4057,2060010900,-,Tuesday,평일
2024-11-26 13:25,한국도로공사,고속국도,1.0,경부고속도로,서울 방향,기상,강우,"빗길""주의""",127.1003,37.3992,2060010200,-,Tuesday,평일
2024-11-26 15:12,한국도로공사,고속국도,55.0,중앙고속도로,부산 방향,기타돌발,고장,(갓길)고장차주의,127.9473,37.6189,2580547400,-,Tuesday,평일
2024-11-26 17:13,한국도로공사,고속국도,60.0,서울양양고속도로,서울 방향,재난,적설,"눈길""주의""",127.1693,37.5755,1240057200,-,Tuesday,평일
2024-11-26 17:58,한국도로공사,고속국도,104.0,남해고속도로제2지선,서부산 방향,기타돌발,장애물,(3차로)장애물조심,128.8267,35.1762,3850588700,-,Tuesday,평일
2024-11-26 23:50,한국도로공사,고속국도,451.0,중부내륙지선,대구 방향,공사,작업,(갓길)시설물설치작업중,128.4351,35.692,1570557902,-,Tuesday,평일
2024-11-26 5:20,한국도로공사,고속국도,151.0,서천공주고속도로,공주 방향,기타돌발,고장,(갓길)대형화물차고장처리중,127.0632,36.4826,2860173000,-,Tuesday,평일
2024-11-26 6:56,국도통합센터,일반국도,17.0,국도17호선,용인 방향,기타돌발,지정체,,127.45549,36.73863,2840264700,2024-11-26 9:07,Tuesday,평일
2024-11-26 9:47,경찰청,-,,수향대로,,공사,작업,<공사> 수향길 소제동299704 대구빌라 2차로 주의운전 도로공사 -,127.437645,36.334527,1830490801,2024-11-26 18:00,Tuesday,평일
2024-11-27 0:44,한국도로공사,고속국도,251.0,호남지선,논산 방향,재난,적설,"눈길""주의""",127.3158,36.2949,1860631500,2024-11-28 11:05,Wednesday,평일
2024-11-27 10:40,한국도로공사,고속국도,45.0,중부내륙고속도로,양평 방향,기상,강우,"빗길""주의""",128.4356,35.6719,1570887900,-,Wednesday,평일
2024-11-27 11:03,한국도로공사,고속국도,100.0,수도권제1순환고속도로,판교-구리 방향,기타돌발,고장,(6차로)고장차처리중,127.1812,37.5451,2270007100,-,Wednesday,평일
2024-11-27 12:35,한국도로공사,고속국도,1.0,경부고속도로,부산 방향,교통사고,사고,(2차로)사고처리중,127.1039,37.2552,2440069800,-,Wednesday,평일
2024-11-27 16:30,한국도로공사,고속국도,15.0,서해안고속도로,서울 방향,기타돌발,고장,(갓길)5톤화물고장차처리중,126.7892,36.0422,2950192300,-,Wednesday,평일
2024-11-27 5:04,한국도로공사,고속국도,35.0,통영대전고속도로,대전 방향,재난,적설,"눈길""주의""",127.4528,36.2803,1830181100,-,Wednesday,평일
2024-11-27 7:32,한국도로공사,고속국도,35.0,중부고속도로,하남 방향,기타돌발,차량증가/정체,차량증가/정체,127.2219,37.5157,2270001003,-,Wednesday,평일
2024-11-28 13:04,한국도로공사,고속국도,151.0,서천공주고속도로,공주 방향,기상,강우,"빗길""주의""",126.8545,36.2996,2940033100,-,Thursday,평일
2024-11-28 15:39,한국도로공사,고속국도,1.0,경부고속도로,서울 방향,기타돌발,차량증가/정체,차량증가/정체,127.1969,36.7667,3010154500,-,Thursday,평일
2024-11-28 18:36,한국도로공사,고속국도,551.0,중앙선지선,김해 방향,기타돌발,차량증가/정체,차량증가/정체,129.0283,35.3272,3880008601,-,Thursday,평일
2024-11-28 18:56,한국도로공사,고속국도,45.0,중부내륙고속도로,창원 방향,공사,작업,(2차로)노면보수작업중,128.4507,35.6127,3910429600,-,Thursday,평일
2024-11-28 19:24,한국도로공사,고속국도,50.0,영동고속도로,인천 방향,재난,적설,"눈길""주의""",128.2053,37.4926,2580024602,-,Thursday,평일
2024-11-28 8:01,한국도로공사,고속국도,15.0,서해안고속도로,서울 방향,기타돌발,고장,(갓길)승용차고장처리중,126.7307,36.9057,3000028301,-,Thursday,평일
2024-11-29 11:12,한국도로공사,고속국도,1.0,경부고속도로,서울 방향,기타돌발,차량증가/정체,차량증가/정체,127.3085,36.7264,3010086800,-,Friday,평일
2024-11-29 15:39,한국도로공사,고속국도,10.0,남해고속도로,순천 방향,기타돌발,차량증가/정체,차량증가/정체,128.9166,35.2244,3850594200,-,Friday,평일
2024-11-29 16:02,한국도로공사,고속국도,35.0,중부고속도로,남이 방향,재난,결빙,"결빙""주의""",127.4201,36.6047,2710002501,-,Friday,평일
